kids storage,1,furniture,1,Score1 = 0.451388888889, Score2 = 0.788461538462(False)
kids storage,1,other furniture,2,Score1 = 0.753472222222, Score2 = 0.774193548387(False)
screen protectors,1,cables & interconnects,3,Score1 = 1.0, Score2 = 0.0(True)
giftwrap & supplies,1,home decor,1,Score1 = 0.554660529344, Score2 = 0.719917012448(False)
giftwrap & supplies,1,home decor accents,2,Score1 = 0.982738780207, Score2 = 0.887587822014(False)
car battery chargers & accessories,1,replacement parts,1,Score1 = 0.863636363636, Score2 = 0.868421052632(False)
car battery chargers & accessories,1,lighting & electrical,2,Score1 = 0.704545454545, Score2 = 0.6(False)
hooks,1,hardware,1,Score1 = 0.628808864266, Score2 = 0.69456681351(False)
hooks,1,cabinet hardware,2,Score1 = 0.635272391505, Score2 = 0.813953488372(False)
ladders,1,building supplies,1,Score1 = 0.919896640827, Score2 = 0.893258426966(False)
ladders,1,heating & cooling,2,Score1 = 0.578811369509, Score2 = 0.0(True)
indoor fireplaces & stoves,1,building supplies,1,Score1 = 0.606858054226, Score2 = 0.768068331143(False)
indoor fireplaces & stoves,1,heating & cooling,2,Score1 = 0.681818181818, Score2 = 0.0(True)
ceiling fixtures,1,home decor,1,Score1 = 0.868891687657, Score2 = 0.784316567618(False)
ceiling fixtures,1,home decor accents,2,Score1 = 0.527141057935, Score2 = 0.71520726317(False)
briefcases,1,luggage & bags,1,Score1 = 0.908629441624, Score2 = 0.972067039106(False)
briefcases,1,luggage,2,Score1 = 0.568527918782, Score2 = 0.0(True)
blood pressure monitors,1,medical supplies & equipment,1,Score1 = 0.883233532934, Score2 = 0.983050847458(False)
home security,1,safety & security,1,Score1 = 0.365384615385, Score2 = 0.774436090226(False)
massage equipment,1,skin care,1,Score1 = 0.8, Score2 = 0.801020408163(False)
massage equipment,1,body,2,Score1 = 0.740816326531, Score2 = 0.0(True)
shower curtains,1,bath,1,Score1 = 0.980392156863, Score2 = 0.996470588235(False)
patient care,1,health care,1,Score1 = 0.478260869565, Score2 = 0.751515151515(False)
patient care,1,massage & relaxation,2,Score1 = 0.565217391304, Score2 = 0.0(True)
interior lamps,1,home decor,1,Score1 = 0.876038781163, Score2 = 0.772068511199(False)
interior lamps,1,candles & holders,2,Score1 = 0.647737765466, Score2 = 0.681397006415(False)
toilet lids & seats,1,kitchen & bath fixtures,1,Score1 = 0.914051841746, Score2 = 0.934328358209(False)
toilet lids & seats,1,bathroom fixtures,2,Score1 = 1.0, Score2 = 0.0(True)
all bottoms,1,women,1,Score1 = 0.321475625823, Score2 = 0.926229508197(True)
bed pillows,1,bedding,1,Score1 = 0.819732034105, Score2 = 0.903417533432(False)
bed pillows,1,decorative pillows inserts & covers,2,Score1 = 0.862362971985, Score2 = 0.949152542373(False)
boat tops & other accessories,1,home & garden,2,Score1 = 0.551159618008, Score2 = 0.423267326733(True)
wallets,1,backpacks,2,Score1 = 0.759571209801, Score2 = 0.0(True)
automotive electrical,1,replacement parts,1,Score1 = 0.479099678457, Score2 = 0.729865771812(False)
automotive electrical,1,lighting & electrical,2,Score1 = 0.626205787781, Score2 = 0.586649550706(False)
life vests,1,clothing,2,Score1 = 0.794871794872, Score2 = 0.703225806452(False)
life vests,1,t-shirts,3,Score1 = 0.682051282051, Score2 = 0.0(True)
all watches,1,novelty jewelry,1,Score1 = 0.302282645183, Score2 = 0.23209328151(True)
minerals,1,vitamins & dietary supplements,1,Score1 = 0.783733826248, Score2 = 0.912735849057(False)
giftwrap,1,home decor,1,Score1 = 0.484722222222, Score2 = 0.590257879656(False)
giftwrap,1,home decor accents,2,Score1 = 0.988888888889, Score2 = 0.88202247191(False)
braces & supports,1,health care,1,Score1 = 0.522326064382, Score2 = 0.777335984095(False)
braces & supports,1,first aid,2,Score1 = 0.773104880582, Score2 = 0.0(True)
hats & headwear,1,men,1,Score1 = 0.487843137255, Score2 = 0.855305466238(False)
hats & headwear,1,accessories,2,Score1 = 0.882352941176, Score2 = 0.952888888889(False)
hats & headwear,1,hats & caps,3,Score1 = 0.945882352941, Score2 = 0.891376451078(False)
marine electronics,1,home & garden,2,Score1 = 0.537216828479, Score2 = 0.325301204819(True)
bedroom sets,1,furniture,1,Score1 = 0.687637969095, Score2 = 0.967897271268(False)
bedroom sets,1,bedroom furniture,2,Score1 = 0.707505518764, Score2 = 0.936037441498(False)
trash cans & recycle bins,1,storage & organization,1,Score1 = 0.767937219731, Score2 = 0.865693430657(False)
chains ropes & tiedowns,1,hardware,1,Score1 = 0.421645021645, Score2 = 0.583162217659(False)
chains ropes & tiedowns,1,door hardware & locks,2,Score1 = 0.463203463203, Score2 = 0.590654205607(False)
digestion & nausea,1,vitamins & dietary supplements,1,Score1 = 0.579365079365, Score2 = 0.842465753425(False)
fluids & lubricants,1,replacement parts,1,Score1 = 0.491803278689, Score2 = 0.493333333333(True)
cookies,1,snack foods,1,Score1 = 0.877906976744, Score2 = 0.927152317881(False)
flashlights,1,power & hand tools,1,Score1 = 0.881638846737, Score2 = 0.929432013769(False)
flashlights,1,hand tools,2,Score1 = 0.99468892261, Score2 = 0.0(True)
tea,1,beverages,1,Score1 = 0.987755102041, Score2 = 0.98347107438(False)
boxing gear & accessories,1,home & garden,2,Score1 = 0.274881516588, Score2 = 0.48275862069(True)
oral accessories,1,personal care,1,Score1 = 0.788685524126, Score2 = 0.894514767932(False)
paints & primers,1,painting supplies & wall treatments,1,Score1 = 0.896496815287, Score2 = 0.802841918295(False)
griddles & skillets,1,kitchen & dining,1,Score1 = 0.875, Score2 = 0.903361344538(False)
griddles & skillets,1,storage & organization,2,Score1 = 0.238970588235, Score2 = 0.184615384615(True)
wall fixtures,1,home decor,1,Score1 = 0.863075586447, Score2 = 0.943829273203(False)
wall fixtures,1,candles & holders,2,Score1 = 0.661164205039, Score2 = 0.806833114323(False)
atv accessories,1,motorcycle & powersports,1,Score1 = 0.797157053903, Score2 = 0.878491399716(False)
atv accessories,1,parts,2,Score1 = 0.538776023649, Score2 = 0.0(True)
auto paint & body,1,replacement parts,1,Score1 = 0.309523809524, Score2 = 0.338461538462(True)
paintings,1,home decor,1,Score1 = 0.648318042813, Score2 = 0.764150943396(False)
paintings,1,home decor accents,2,Score1 = 0.889908256881, Score2 = 0.824742268041(False)
exercise mats,1,home & garden,2,Score1 = 0.727272727273, Score2 = 0.769736842105(False)
